ManagementStatus,ForestDistrict,Species,Age0,Age5,Age10,Age15,Age20,Age25,Age30,Age35,Age40,Age45,Age50,Age55,Age60,Age65,Age70,Age75,Age80,Age85
Managed Forest,Clearwater Provincial Park,Tamarack/larch,0,0.972727273,1.945454545,2.918181818,3,13.7,24.4,35.1,45.8,56.5,67.2,77.9,88.6,99.3,110,120.7,131.4,142.1
Managed Forest,Cypress Hills Provincial Park,Tamarack/larch,0,0.972727273,1.945454545,2.918181818,3,13.7,24.4,35.1,45.8,56.5,67.2,77.9,88.6,99.3,110,120.7,131.4,142.1
Managed Forest,DND Air Weapons Range,Tamarack/larch,0,0.972727273,1.945454545,2.918181818,3,13.7,24.4,35.1,45.8,56.5,67.2,77.9,88.6,99.3,110,120.7,131.4,142.1
Managed Forest,Duck Mountain Provincial Park,Tamarack/larch,0,0.972727273,1.945454545,2.918181818,3,13.7,24.4,35.1,45.8,56.5,67.2,77.9,88.6,99.3,110,120.7,131.4,142.1
Managed Forest,Fort a la Corne Forest,Tamarack/larch,0,0.972727273,1.945454545,2.918181818,3,13.7,24.4,35.1,45.8,56.5,67.2,77.9,88.6,99.3,110,120.7,131.4,142.1
Managed Forest,Greenwater Provincial Park,Tamarack/larch,0,0.972727273,1.945454545,2.918181818,3,13.7,24.4,35.1,45.8,56.5,67.2,77.9,88.6,99.3,110,120.7,131.4,142.1
Managed Forest,Kitsaki-Zelensky proposed FMA,Tamarack/larch,0,0.972727273,1.945454545,2.918181818,3,13.7,24.4,35.1,45.8,56.5,67.2,77.9,88.6,99.3,110,120.7,131.4,142.1
Managed Forest,L&M FMA,Tamarack/larch,0,0.972727273,1.945454545,2.918181818,3,13.7,24.4,35.1,45.8,56.5,67.2,77.9,88.6,99.3,110,120.7,131.4,142.1
Managed Forest,La Ronge Provincial Park,Tamarack/larch,0,0.972727273,1.945454545,2.918181818,3,13.7,24.4,35.1,45.8,56.5,67.2,77.9,88.6,99.3,110,120.7,131.4,142.1
Managed Forest,Meadow Lake Provincial Park,Tamarack/larch,0,0.972727273,1.945454545,2.918181818,3,13.7,24.4,35.1,45.8,56.5,67.2,77.9,88.6,99.3,110,120.7,131.4,142.1
Managed Forest,Mee-Toos proposed FMA south,Tamarack/larch,0,0.972727273,1.945454545,2.918181818,3,13.7,24.4,35.1,45.8,56.5,67.2,77.9,88.6,99.3,110,120.7,131.4,142.1
Managed Forest,Mistik FMA,Tamarack/larch,0,0.972727273,1.945454545,2.918181818,3,13.7,24.4,35.1,45.8,56.5,67.2,77.9,88.6,99.3,110,120.7,131.4,142.1
Managed Forest,Moose Mountain Provincial Park,Tamarack/larch,0,0.972727273,1.945454545,2.918181818,3,13.7,24.4,35.1,45.8,56.5,67.2,77.9,88.6,99.3,110,120.7,131.4,142.1
Managed Forest,Narrow Hills Provincial Park,Tamarack/larch,0,0.972727273,1.945454545,2.918181818,3,13.7,24.4,35.1,45.8,56.5,67.2,77.9,88.6,99.3,110,120.7,131.4,142.1
